template_id,day_index,day_name,day_focus,exercise_order,exercise_id,exercise_name,movement_pattern,primary_muscles,equipment,role,sets,reps_min,reps_max,target_rir,rest_seconds,required,notes,progression_rule_id,prescription_type,duration_seconds_min,duration_seconds_max,breaths_min,breaths_max
forge_strength_beginner_2d_gym_full_body_v01,1,Full Body A,Tüm Vücut,1,back_squat,Back Squat,squat,quads,"barbell,rack",main_lift,3,4,6,2,150,true,,double_progression,reps,,,,
forge_strength_beginner_2d_gym_full_body_v01,1,Full Body A,Tüm Vücut,2,trap_bar_deadlift,Trap Bar Deadlift,hinge,"glutes,quads,hamstrings",trap_bar,secondary_compound,2,5,8,2,120,true,,double_progression,reps,,,,
forge_strength_beginner_2d_gym_full_body_v01,1,Full Body A,Tüm Vücut,3,bench_press,Barbell Bench Press,horizontal_push,"chest,triceps,front_delts","barbell,bench,rack",main_lift,2,5,8,2,120,true,,double_progression,reps,,,,
forge_strength_beginner_2d_gym_full_body_v01,1,Full Body A,Tüm Vücut,4,barbell_row,Barbell Row,horizontal_pull,"upper_back,lats,biceps",barbell,secondary_compound,2,6,10,2,90,true,,double_progression,reps,,,,
forge_strength_beginner_2d_gym_full_body_v01,2,Full Body B,Tüm Vücut,1,front_squat,Front Squat,squat,quads,"barbell,rack",main_lift,3,4,6,2,150,true,,double_progression,reps,,,,
forge_strength_beginner_2d_gym_full_body_v01,2,Full Body B,Tüm Vücut,2,romanian_deadlift,Romanian Deadlift,hinge,"hamstrings,glutes",barbell,secondary_compound,2,5,8,2,120,true,,double_progression,reps,,,,
forge_strength_beginner_2d_gym_full_body_v01,2,Full Body B,Tüm Vücut,3,incline_barbell_press,Incline Barbell Press,incline_push,"upper_chest,triceps,front_delts","barbell,incline_bench,rack",secondary_compound,2,5,8,2,120,true,,double_progression,reps,,,,
forge_strength_beginner_2d_gym_full_body_v01,2,Full Body B,Tüm Vücut,4,lat_pulldown,Lat Pulldown,vertical_pull,"lats,biceps",cable,secondary_compound,2,6,10,2,90,true,,double_progression,reps,,,,
forge_strength_intermediate_3d_gym_full_body_v02,1,Full Body A,Tüm Vücut,1,front_squat,Front Squat,squat,quads,"barbell,rack",main_lift,4,4,6,2,150,true,,double_progression,reps,,,,
forge_strength_intermediate_3d_gym_full_body_v02,1,Full Body A,Tüm Vücut,2,romanian_deadlift,Romanian Deadlift,hinge,"hamstrings,glutes",barbell,secondary_compound,3,5,8,2,120,true,,double_progression,reps,,,,
forge_strength_intermediate_3d_gym_full_body_v02,1,Full Body A,Tüm Vücut,3,incline_barbell_press,Incline Barbell Press,incline_push,"upper_chest,triceps,front_delts","barbell,incline_bench,rack",secondary_compound,3,5,8,2,120,true,,double_progression,reps,,,,
forge_strength_intermediate_3d_gym_full_body_v02,1,Full Body A,Tüm Vücut,4,chest_supported_row,Chest-Supported Row,horizontal_pull,"upper_back,lats,biceps",machine_or_dumbbell,secondary_compound,3,6,10,2,90,true,,double_progression,reps,,,,
forge_strength_intermediate_3d_gym_full_body_v02,1,Full Body A,Tüm Vücut,5,dumbbell_shoulder_press,Dumbbell Shoulder Press,vertical_push,"front_delts,triceps","dumbbell,bench",secondary_compound,2,8,12,2,90,false,,double_progression,reps,,,,
forge_strength_intermediate_3d_gym_full_body_v02,1,Full Body A,Tüm Vücut,6,dead_bug,Dead Bug,anti_extension,core,bodyweight,core,2,8,15,2,60,false,,double_progression,reps,,,,
forge_strength_intermediate_3d_gym_full_body_v02,2,Full Body B,Tüm Vücut,1,hack_squat,Hack Squat,squat,quads,machine,main_lift,4,4,6,2,150,true,,double_progression,reps,,,,
forge_strength_intermediate_3d_gym_full_body_v02,2,Full Body B,Tüm Vücut,2,dumbbell_rdl,Dumbbell Romanian Deadlift,hinge,"hamstrings,glutes",dumbbell,secondary_compound,3,5,8,2,120,true,,double_progression,reps,,,,
forge_strength_intermediate_3d_gym_full_body_v02,2,Full Body B,Tüm Vücut,3,dumbbell_bench_press,Dumbbell Bench Press,horizontal_push,"chest,triceps","dumbbell,bench",secondary_compound,3,5,8,2,120,true,,double_progression,reps,,,,
forge_strength_intermediate_3d_gym_full_body_v02,2,Full Body B,Tüm Vücut,4,neutral_grip_pulldown,Neutral-Grip Pulldown,vertical_pull,"lats,biceps",cable,secondary_compound,3,6,10,2,90,true,,double_progression,reps,,,,
forge_strength_intermediate_3d_gym_full_body_v02,2,Full Body B,Tüm Vücut,5,machine_shoulder_press,Machine Shoulder Press,vertical_push,"front_delts,triceps",machine,secondary_compound,2,8,12,2,90,false,,double_progression,reps,,,,
