template_id,day_index,day_name,day_focus,exercise_order,exercise_id,exercise_name,movement_pattern,primary_muscles,equipment,role,sets,reps_min,reps_max,target_rir,rest_seconds,required,notes
forge_general_fitness_beginner_gym_3d_v1,1,Full Body A,Temel,1,goblet_squat,Goblet Squat,squat,quads,dumbbell,secondary_compound,3,8,12,3,120,false,
forge_general_fitness_beginner_gym_3d_v1,1,Full Body A,Temel,2,machine_chest_press,Machine Chest Press,horizontal_push,"chest,triceps",machine,secondary_compound,3,8,12,3,120,false,
forge_general_fitness_beginner_gym_3d_v1,1,Full Body A,Temel,3,lat_pulldown,Lat Pulldown,vertical_pull,"lats,biceps",cable,secondary_compound,3,8,12,3,120,false,
forge_general_fitness_beginner_gym_3d_v1,1,Full Body A,Temel,4,dumbbell_rdl,Dumbbell Romanian Deadlift,hinge,"hamstrings,glutes",dumbbell,secondary_compound,2,10,12,3,120,false,
forge_general_fitness_beginner_gym_3d_v1,1,Full Body A,Temel,5,farmer_carry,Farmer Carry,loaded_carry,"grip,core",dumbbell_or_kettlebell,conditioning,3,30,45,3,75,false,metre veya saniye
forge_general_fitness_beginner_gym_3d_v1,2,Full Body B,Temel,1,leg_press,Leg Press,squat,quads,machine,secondary_compound,3,10,15,3,120,false,
forge_general_fitness_beginner_gym_3d_v1,2,Full Body B,Temel,2,dumbbell_shoulder_press,Dumbbell Shoulder Press,vertical_push,"front_delts,triceps","dumbbell,bench",secondary_compound,3,8,12,3,120,false,
forge_general_fitness_beginner_gym_3d_v1,2,Full Body B,Temel,3,seated_cable_row,Seated Cable Row,horizontal_pull,"upper_back,lats,biceps",cable,secondary_compound,3,8,12,3,120,false,
forge_general_fitness_beginner_gym_3d_v1,2,Full Body B,Temel,4,hip_thrust,Barbell Hip Thrust,hinge,glutes,"barbell,bench",secondary_compound,2,10,15,3,120,false,
forge_general_fitness_beginner_gym_3d_v1,2,Full Body B,Temel,5,pallof_press,Pallof Press,anti_rotation,core,cable_or_band,core,3,10,15,3,60,false,
forge_general_fitness_beginner_gym_3d_v1,3,Full Body C,Temel,1,reverse_lunge,Reverse Lunge,lunge,"quads,glutes",dumbbell,accessory_compound,3,8,12,3,120,false,
forge_general_fitness_beginner_gym_3d_v1,3,Full Body C,Temel,2,dumbbell_bench_press,Dumbbell Bench Press,horizontal_push,"chest,triceps","dumbbell,bench",secondary_compound,3,8,12,3,120,false,
forge_general_fitness_beginner_gym_3d_v1,3,Full Body C,Temel,3,neutral_grip_pulldown,Neutral-Grip Pulldown,vertical_pull,"lats,biceps",cable,secondary_compound,3,8,12,3,120,false,
forge_general_fitness_beginner_gym_3d_v1,3,Full Body C,Temel,4,leg_curl,Leg Curl,knee_flexion,hamstrings,machine,isolation,2,10,15,3,90,false,
