template_id,version,status,name_tr,goal,level,split,days_per_week,duration_weeks,session_minutes_min,session_minutes_target,session_minutes_max,equipment_profile,progression_rule_id,compatible_focus_muscles,max_extra_sets_per_focus_muscle_week,max_focus_muscles,description_tr,source_basis
forge_strength_fullbody_beginner_3d_v1,2,active,Temel Güç 3 Gün,strength,beginner,full_body,3,8,45,60,75,full_gym,linear_beginner,"chest,upper_chest,lats,upper_back,side_delts,quads,hamstrings,glutes",4,2,Başlangıç seviyesinde temel kaldırış tekniği ve lineer güç gelişimi.,Forge Programming Bible v1 + aggregate dataset patterns + evidence-informed guardrails
forge_strength_upper_lower_beginner_4d_v1,1,active,Dengeli Güç 4 Gün,strength,beginner,upper_lower,4,8,45,60,75,full_gym,linear_beginner,"chest,upper_chest,lats,upper_back,quads,hamstrings,glutes",4,2,Dört güne yayılan başlangıç upper/lower güç programı.,Forge Programming Bible v1 + aggregate dataset patterns + evidence-informed guardrails
forge_strength_fullbody_intermediate_3d_v1,1,active,Orta Seviye Güç 3 Gün,strength,intermediate,full_body,3,10,60,75,90,full_gym,undulating_strength,"chest,lats,upper_back,quads,hamstrings,glutes",4,2,"Ağır, orta ve teknik maruziyetleri dalgalandıran üç günlük güç planı.",Forge Programming Bible v1 + aggregate dataset patterns + evidence-informed guardrails
forge_strength_upper_lower_intermediate_4d_v1,1,active,Güç Upper/Lower 4 Gün,strength,intermediate,upper_lower,4,10,60,75,90,full_gym,top_set_backoff,"chest,upper_chest,lats,upper_back,quads,hamstrings,glutes",4,2,Ana liftlerde üst set ve back-off kullanan orta seviye program.,Forge Programming Bible v1 + aggregate dataset patterns + evidence-informed guardrails
forge_strength_intermediate_5d_v1,1,active,Yoğun Güç 5 Gün,strength,intermediate,strength_split,5,10,55,70,85,full_gym,undulating_strength,"chest,lats,upper_back,quads,hamstrings,glutes,triceps",4,2,Daha sık teknik maruziyet isteyen orta seviye kullanıcılar için.,Forge Programming Bible v1 + aggregate dataset patterns + evidence-informed guardrails
forge_strength_advanced_4d_v1,1,active,İleri Güç 4 Gün,strength,advanced,upper_lower,4,12,75,90,105,full_gym,top_set_backoff,"chest,lats,upper_back,quads,hamstrings,glutes",3,2,İleri seviye için yüksek özgüllük ve kontrollü aksesuar hacmi.,Forge Programming Bible v1 + aggregate dataset patterns + evidence-informed guardrails
forge_hypertrophy_fullbody_beginner_3d_v1,1,active,Kas Gelişimi Full Body 3 Gün,hypertrophy,beginner,full_body,3,8,45,60,75,full_gym,double_progression,"chest,upper_chest,lats,upper_back,side_delts,rear_delts,biceps,triceps,quads,hamstrings,glutes,calves",4,2,Üç güne dengeli dağıtılmış full-body hipertrofi programı.,Forge Programming Bible v1 + aggregate dataset patterns + evidence-informed guardrails
forge_hypertrophy_fullbody_intermediate_3d_v1,1,active,Yoğun Full Body Hipertrofi 3 Gün,hypertrophy,intermediate,full_body,3,8,55,70,85,full_gym,double_progression,"chest,upper_chest,lats,upper_back,side_delts,rear_delts,biceps,triceps,quads,hamstrings,glutes,calves",4,2,Üç güne dengeli dağıtılmış full-body hipertrofi programı.,Forge Programming Bible v1 + aggregate dataset patterns + evidence-informed guardrails
forge_hypertrophy_upper_lower_beginner_4d_v1,1,active,Hipertrofi Upper/Lower Başlangıç,hypertrophy,beginner,upper_lower,4,8,45,60,75,full_gym,double_progression,"chest,upper_chest,lats,upper_back,side_delts,rear_delts,biceps,triceps,quads,hamstrings,glutes,calves",4,2,Öğrenmesi kolay dört günlük kas gelişimi programı.,Forge Programming Bible v1 + aggregate dataset patterns + evidence-informed guardrails
forge_hypertrophy_upper_lower_intermediate_4d_v1,1,active,Kas Gelişimi Upper/Lower 4 Gün,hypertrophy,intermediate,upper_lower,4,10,60,75,90,full_gym,double_progression,"chest,upper_chest,lats,upper_back,side_delts,rear_delts,biceps,triceps,quads,hamstrings,glutes,calves",4,2,Orta seviye için dengeli hacim ve iki maruziyet.,Forge Programming Bible v1 + aggregate dataset patterns + evidence-informed guardrails
