template_id,version,status,name_tr,goal,level,split,days_per_week,duration_weeks,session_minutes_min,session_minutes_target,session_minutes_max,equipment_profile,progression_rule_id,compatible_focus_muscles,max_extra_sets_per_focus_muscle_week,max_focus_muscles,description_tr,source_basis,modality,library_tier
forge_strength_beginner_2d_gym_full_body_v01,1,active,Beginner Güç 2 Gün Minimal,strength,beginner,full_body,2,8,30,40,50,full_gym,linear_beginner,"chest,upper_back,lats,quads,hamstrings,glutes",2,1,Temel lift önceliğini koruyan kontrollü güç programı.,FORGE Programming Bible + deterministic archetype expansion v2,strength,reviewed_generated
forge_strength_intermediate_3d_gym_full_body_v02,1,active,Intermediate Güç 3 Gün,strength,intermediate,full_body,3,10,60,75,90,full_gym,top_set_backoff,"chest,upper_back,lats,quads,hamstrings,glutes",4,2,Temel lift önceliğini koruyan kontrollü güç programı.,FORGE Programming Bible + deterministic archetype expansion v2,strength,reviewed_generated
forge_strength_advanced_4d_gym_upper_lower_v03,1,active,Advanced Güç 4 Gün,strength,advanced,upper_lower,4,10,60,75,90,full_gym,undulating_strength,"chest,upper_back,lats,quads,hamstrings,glutes",4,2,Temel lift önceliğini koruyan kontrollü güç programı.,FORGE Programming Bible + deterministic archetype expansion v2,strength,reviewed_generated
forge_strength_beginner_4d_gym_upper_lower_v04,1,active,Beginner Güç 4 Gün,strength,beginner,upper_lower,4,8,45,60,75,full_gym,linear_beginner,"chest,upper_back,lats,quads,hamstrings,glutes",2,1,Temel lift önceliğini koruyan kontrollü güç programı.,FORGE Programming Bible + deterministic archetype expansion v2,strength,reviewed_generated
forge_strength_intermediate_2d_gym_full_body_v05,1,active,Intermediate Güç 2 Gün,strength,intermediate,full_body,2,10,60,75,90,full_gym,undulating_strength,"chest,upper_back,lats,quads,hamstrings,glutes",4,2,Temel lift önceliğini koruyan kontrollü güç programı.,FORGE Programming Bible + deterministic archetype expansion v2,strength,reviewed_generated
forge_strength_advanced_3d_gym_full_body_v06,1,active,Advanced Güç 3 Gün Minimal,strength,advanced,full_body,3,10,30,40,50,full_gym,top_set_backoff,"chest,upper_back,lats,quads,hamstrings,glutes",4,2,Temel lift önceliğini koruyan kontrollü güç programı.,FORGE Programming Bible + deterministic archetype expansion v2,strength,reviewed_generated
forge_strength_beginner_4d_gym_upper_lower_v07,1,active,Beginner Güç 4 Gün,strength,beginner,upper_lower,4,8,45,60,75,full_gym,linear_beginner,"chest,upper_back,lats,quads,hamstrings,glutes",2,1,Temel lift önceliğini koruyan kontrollü güç programı.,FORGE Programming Bible + deterministic archetype expansion v2,strength,reviewed_generated
forge_strength_intermediate_5d_gym_upper_lower_v08,1,active,Intermediate Güç 5 Gün,strength,intermediate,upper_lower,5,10,60,75,90,full_gym,top_set_backoff,"chest,upper_back,lats,quads,hamstrings,glutes",4,2,Temel lift önceliğini koruyan kontrollü güç programı.,FORGE Programming Bible + deterministic archetype expansion v2,strength,reviewed_generated
forge_strength_advanced_2d_gym_full_body_v09,1,active,Advanced Güç 2 Gün,strength,advanced,full_body,2,10,60,75,90,full_gym,undulating_strength,"chest,upper_back,lats,quads,hamstrings,glutes",4,2,Temel lift önceliğini koruyan kontrollü güç programı.,FORGE Programming Bible + deterministic archetype expansion v2,strength,reviewed_generated
forge_strength_beginner_3d_gym_full_body_v10,1,active,Beginner Güç 3 Gün,strength,beginner,full_body,3,8,45,60,75,full_gym,linear_beginner,"chest,upper_back,lats,quads,hamstrings,glutes",2,1,Temel lift önceliğini koruyan kontrollü güç programı.,FORGE Programming Bible + deterministic archetype expansion v2,strength,reviewed_generated
forge_strength_intermediate_4d_gym_upper_lower_v11,1,active,Intermediate Güç 4 Gün Minimal,strength,intermediate,upper_lower,4,10,30,40,50,full_gym,undulating_strength,"chest,upper_back,lats,quads,hamstrings,glutes",4,2,Temel lift önceliğini koruyan kontrollü güç programı.,FORGE Programming Bible + deterministic archetype expansion v2,strength,reviewed_generated
forge_strength_advanced_5d_gym_upper_lower_v12,1,active,Advanced Güç 5 Gün,strength,advanced,upper_lower,5,10,60,75,90,full_gym,top_set_backoff,"chest,upper_back,lats,quads,hamstrings,glutes",4,2,Temel lift önceliğini koruyan kontrollü güç programı.,FORGE Programming Bible + deterministic archetype expansion v2,strength,reviewed_generated
forge_strength_beginner_2d_gym_full_body_v13,1,active,Beginner Güç 2 Gün,strength,beginner,full_body,2,8,45,60,75,full_gym,linear_beginner,"chest,upper_back,lats,quads,hamstrings,glutes",2,1,Temel lift önceliğini koruyan kontrollü güç programı.,FORGE Programming Bible + deterministic archetype expansion v2,strength,reviewed_generated
forge_strength_intermediate_3d_gym_full_body_v14,1,active,Intermediate Güç 3 Gün,strength,intermediate,full_body,3,10,60,75,90,full_gym,top_set_backoff,"chest,upper_back,lats,quads,hamstrings,glutes",4,2,Temel lift önceliğini koruyan kontrollü güç programı.,FORGE Programming Bible + deterministic archetype expansion v2,strength,reviewed_generated
forge_strength_advanced_4d_gym_upper_lower_v15,1,active,Advanced Güç 4 Gün,strength,advanced,upper_lower,4,10,60,75,90,full_gym,undulating_strength,"chest,upper_back,lats,quads,hamstrings,glutes",4,2,Temel lift önceliğini koruyan kontrollü güç programı.,FORGE Programming Bible + deterministic archetype expansion v2,strength,reviewed_generated
forge_strength_beginner_4d_gym_upper_lower_v16,1,active,Beginner Güç 4 Gün Minimal,strength,beginner,upper_lower,4,8,30,40,50,full_gym,linear_beginner,"chest,upper_back,lats,quads,hamstrings,glutes",2,1,Temel lift önceliğini koruyan kontrollü güç programı.,FORGE Programming Bible + deterministic archetype expansion v2,strength,reviewed_generated
forge_strength_intermediate_2d_gym_full_body_v17,1,active,Intermediate Güç 2 Gün,strength,intermediate,full_body,2,10,60,75,90,full_gym,undulating_strength,"chest,upper_back,lats,quads,hamstrings,glutes",4,2,Temel lift önceliğini koruyan kontrollü güç programı.,FORGE Programming Bible + deterministic archetype expansion v2,strength,reviewed_generated
forge_strength_advanced_3d_gym_full_body_v18,1,active,Advanced Güç 3 Gün,strength,advanced,full_body,3,10,60,75,90,full_gym,top_set_backoff,"chest,upper_back,lats,quads,hamstrings,glutes",4,2,Temel lift önceliğini koruyan kontrollü güç programı.,FORGE Programming Bible + deterministic archetype expansion v2,strength,reviewed_generated
forge_strength_beginner_4d_gym_upper_lower_v19,1,active,Beginner Güç 4 Gün,strength,beginner,upper_lower,4,8,45,60,75,full_gym,linear_beginner,"chest,upper_back,lats,quads,hamstrings,glutes",2,1,Temel lift önceliğini koruyan kontrollü güç programı.,FORGE Programming Bible + deterministic archetype expansion v2,strength,reviewed_generated
forge_strength_intermediate_5d_gym_upper_lower_v20,1,active,Intermediate Güç 5 Gün,strength,intermediate,upper_lower,5,10,60,75,90,full_gym,top_set_backoff,"chest,upper_back,lats,quads,hamstrings,glutes",4,2,Temel lift önceliğini koruyan kontrollü güç programı.,FORGE Programming Bible + deterministic archetype expansion v2,strength,reviewed_generated
forge_strength_advanced_2d_gym_full_body_v21,1,active,Advanced Güç 2 Gün Minimal,strength,advanced,full_body,2,10,30,40,50,full_gym,undulating_strength,"chest,upper_back,lats,quads,hamstrings,glutes",4,2,Temel lift önceliğini koruyan kontrollü güç programı.,FORGE Programming Bible + deterministic archetype expansion v2,strength,reviewed_generated
forge_strength_beginner_3d_gym_full_body_v22,1,active,Beginner Güç 3 Gün,strength,beginner,full_body,3,8,45,60,75,full_gym,linear_beginner,"chest,upper_back,lats,quads,hamstrings,glutes",2,1,Temel lift önceliğini koruyan kontrollü güç programı.,FORGE Programming Bible + deterministic archetype expansion v2,strength,reviewed_generated
forge_strength_intermediate_4d_gym_upper_lower_v23,1,active,Intermediate Güç 4 Gün,strength,intermediate,upper_lower,4,10,60,75,90,full_gym,undulating_strength,"chest,upper_back,lats,quads,hamstrings,glutes",4,2,Temel lift önceliğini koruyan kontrollü güç programı.,FORGE Programming Bible + deterministic archetype expansion v2,strength,reviewed_generated
forge_strength_advanced_5d_gym_upper_lower_v24,1,active,Advanced Güç 5 Gün,strength,advanced,upper_lower,5,10,60,75,90,full_gym,top_set_backoff,"chest,upper_back,lats,quads,hamstrings,glutes",4,2,Temel lift önceliğini koruyan kontrollü güç programı.,FORGE Programming Bible + deterministic archetype expansion v2,strength,reviewed_generated
forge_strength_beginner_2d_gym_full_body_v25,1,active,Beginner Güç 2 Gün,strength,beginner,full_body,2,8,45,60,75,full_gym,linear_beginner,"chest,upper_back,lats,quads,hamstrings,glutes",2,1,Temel lift önceliğini koruyan kontrollü güç programı.,FORGE Programming Bible + deterministic archetype expansion v2,strength,reviewed_generated
forge_strength_intermediate_3d_gym_full_body_v26,1,active,Intermediate Güç 3 Gün Minimal,strength,intermediate,full_body,3,10,30,40,50,full_gym,top_set_backoff,"chest,upper_back,lats,quads,hamstrings,glutes",4,2,Temel lift önceliğini koruyan kontrollü güç programı.,FORGE Programming Bible + deterministic archetype expansion v2,strength,reviewed_generated
forge_strength_advanced_4d_gym_upper_lower_v27,1,active,Advanced Güç 4 Gün,strength,advanced,upper_lower,4,10,60,75,90,full_gym,undulating_strength,"chest,upper_back,lats,quads,hamstrings,glutes",4,2,Temel lift önceliğini koruyan kontrollü güç programı.,FORGE Programming Bible + deterministic archetype expansion v2,strength,reviewed_generated
forge_strength_beginner_4d_gym_upper_lower_v28,1,active,Beginner Güç 4 Gün,strength,beginner,upper_lower,4,8,45,60,75,full_gym,linear_beginner,"chest,upper_back,lats,quads,hamstrings,glutes",2,1,Temel lift önceliğini koruyan kontrollü güç programı.,FORGE Programming Bible + deterministic archetype expansion v2,strength,reviewed_generated
forge_strength_intermediate_2d_gym_full_body_v29,1,active,Intermediate Güç 2 Gün,strength,intermediate,full_body,2,10,60,75,90,full_gym,undulating_strength,"chest,upper_back,lats,quads,hamstrings,glutes",4,2,Temel lift önceliğini koruyan kontrollü güç programı.,FORGE Programming Bible + deterministic archetype expansion v2,strength,reviewed_generated
forge_strength_advanced_3d_gym_full_body_v30,1,active,Advanced Güç 3 Gün,strength,advanced,full_body,3,10,60,75,90,full_gym,top_set_backoff,"chest,upper_back,lats,quads,hamstrings,glutes",4,2,Temel lift önceliğini koruyan kontrollü güç programı.,FORGE Programming Bible + deterministic archetype expansion v2,strength,reviewed_generated
forge_strength_beginner_4d_gym_upper_lower_v31,1,active,Beginner Güç 4 Gün Minimal,strength,beginner,upper_lower,4,8,30,40,50,full_gym,linear_beginner,"chest,upper_back,lats,quads,hamstrings,glutes",2,1,Temel lift önceliğini koruyan kontrollü güç programı.,FORGE Programming Bible + deterministic archetype expansion v2,strength,reviewed_generated
forge_strength_intermediate_5d_gym_upper_lower_v32,1,active,Intermediate Güç 5 Gün,strength,intermediate,upper_lower,5,10,60,75,90,full_gym,top_set_backoff,"chest,upper_back,lats,quads,hamstrings,glutes",4,2,Temel lift önceliğini koruyan kontrollü güç programı.,FORGE Programming Bible + deterministic archetype expansion v2,strength,reviewed_generated
forge_strength_advanced_2d_gym_full_body_v33,1,active,Advanced Güç 2 Gün,strength,advanced,full_body,2,10,60,75,90,full_gym,undulating_strength,"chest,upper_back,lats,quads,hamstrings,glutes",4,2,Temel lift önceliğini koruyan kontrollü güç programı.,FORGE Programming Bible + deterministic archetype expansion v2,strength,reviewed_generated
forge_strength_beginner_3d_gym_full_body_v34,1,active,Beginner Güç 3 Gün,strength,beginner,full_body,3,8,45,60,75,full_gym,linear_beginner,"chest,upper_back,lats,quads,hamstrings,glutes",2,1,Temel lift önceliğini koruyan kontrollü güç programı.,FORGE Programming Bible + deterministic archetype expansion v2,strength,reviewed_generated
forge_strength_intermediate_4d_gym_upper_lower_v35,1,active,Intermediate Güç 4 Gün,strength,intermediate,upper_lower,4,10,60,75,90,full_gym,undulating_strength,"chest,upper_back,lats,quads,hamstrings,glutes",4,2,Temel lift önceliğini koruyan kontrollü güç programı.,FORGE Programming Bible + deterministic archetype expansion v2,strength,reviewed_generated
forge_strength_advanced_5d_gym_upper_lower_v36,1,active,Advanced Güç 5 Gün Minimal,strength,advanced,upper_lower,5,10,30,40,50,full_gym,top_set_backoff,"chest,upper_back,lats,quads,hamstrings,glutes",4,2,Temel lift önceliğini koruyan kontrollü güç programı.,FORGE Programming Bible + deterministic archetype expansion v2,strength,reviewed_generated
forge_strength_beginner_2d_gym_full_body_v37,1,active,Beginner Güç 2 Gün,strength,beginner,full_body,2,8,45,60,75,full_gym,linear_beginner,"chest,upper_back,lats,quads,hamstrings,glutes",2,1,Temel lift önceliğini koruyan kontrollü güç programı.,FORGE Programming Bible + deterministic archetype expansion v2,strength,reviewed_generated
forge_strength_intermediate_3d_gym_full_body_v38,1,active,Intermediate Güç 3 Gün,strength,intermediate,full_body,3,10,60,75,90,full_gym,top_set_backoff,"chest,upper_back,lats,quads,hamstrings,glutes",4,2,Temel lift önceliğini koruyan kontrollü güç programı.,FORGE Programming Bible + deterministic archetype expansion v2,strength,reviewed_generated
forge_strength_advanced_4d_gym_upper_lower_v39,1,active,Advanced Güç 4 Gün,strength,advanced,upper_lower,4,10,60,75,90,full_gym,undulating_strength,"chest,upper_back,lats,quads,hamstrings,glutes",4,2,Temel lift önceliğini koruyan kontrollü güç programı.,FORGE Programming Bible + deterministic archetype expansion v2,strength,reviewed_generated
forge_strength_beginner_4d_gym_upper_lower_v40,1,active,Beginner Güç 4 Gün,strength,beginner,upper_lower,4,8,45,60,75,full_gym,linear_beginner,"chest,upper_back,lats,quads,hamstrings,glutes",2,1,Temel lift önceliğini koruyan kontrollü güç programı.,FORGE Programming Bible + deterministic archetype expansion v2,strength,reviewed_generated
forge_strength_intermediate_2d_gym_full_body_v41,1,active,Intermediate Güç 2 Gün Minimal,strength,intermediate,full_body,2,10,30,40,50,full_gym,undulating_strength,"chest,upper_back,lats,quads,hamstrings,glutes",4,2,Temel lift önceliğini koruyan kontrollü güç programı.,FORGE Programming Bible + deterministic archetype expansion v2,strength,reviewed_generated
forge_strength_advanced_3d_gym_full_body_v42,1,active,Advanced Güç 3 Gün,strength,advanced,full_body,3,10,60,75,90,full_gym,top_set_backoff,"chest,upper_back,lats,quads,hamstrings,glutes",4,2,Temel lift önceliğini koruyan kontrollü güç programı.,FORGE Programming Bible + deterministic archetype expansion v2,strength,reviewed_generated
forge_strength_beginner_4d_gym_upper_lower_v43,1,active,Beginner Güç 4 Gün,strength,beginner,upper_lower,4,8,45,60,75,full_gym,linear_beginner,"chest,upper_back,lats,quads,hamstrings,glutes",2,1,Temel lift önceliğini koruyan kontrollü güç programı.,FORGE Programming Bible + deterministic archetype expansion v2,strength,reviewed_generated
forge_strength_intermediate_5d_gym_upper_lower_v44,1,active,Intermediate Güç 5 Gün,strength,intermediate,upper_lower,5,10,60,75,90,full_gym,top_set_backoff,"chest,upper_back,lats,quads,hamstrings,glutes",4,2,Temel lift önceliğini koruyan kontrollü güç programı.,FORGE Programming Bible + deterministic archetype expansion v2,strength,reviewed_generated
forge_strength_advanced_2d_gym_full_body_v45,1,active,Advanced Güç 2 Gün,strength,advanced,full_body,2,10,60,75,90,full_gym,undulating_strength,"chest,upper_back,lats,quads,hamstrings,glutes",4,2,Temel lift önceliğini koruyan kontrollü güç programı.,FORGE Programming Bible + deterministic archetype expansion v2,strength,reviewed_generated
